id,title,category
24,Dumbbell Shoulder Press,shoulder_press
25,Single-arm Neutral-grip Dumbbell Row and Rotation,row
34,90/90 Stretch,warm_up
5,Arm Circles,warm_up
6,Dumbbell Bench Press,bench_press
38,Cat Cow Stretch,warm_up
46,Dumbbell Biceps Curl,curl
39,Child's Pose Stretch,warm_up
7,Dumbbell Lying Triceps Extension,triceps_extension
37,Sit-up,sit_up
43,Front Split Stretch,warm_up
44,Hamstring Stretch,warm_up
31,Low Side-to-Side Lunge,lunge
46,Lat Stretch,warm_up
29,Superman from Floor,hyperextension
13,Lat Pull-down,pull_up
24,Thoracic Rotation,warm_up
18,Seated Cable Row,row
0,Cardio,cardio
